LINEUP	TM	MIN	PTS	2PTM	2PTA	2PT%	3PTM	3PTA	3PT%	FGM	FGA	FG%	FTM	FTA	FT%	OR	DR	TR	AST	PF	DF	ST	TO	BLK	BLKA	VAL	+ / -
Peters A., Papanikolaou K., Sloukas K., Black T., Walkup T.	OLY	9.6	25	6	8	75%	3	4	75%	9	12	75%	4	4	100%	0	5	5	5	4	6	3	2	0	0	35	12
Peters A., Canaan I., Sloukas K., Mckissic S., Black T.	OLY	1	0	0	0	-	0	1	0%	0	1	0%	0	0	-	1	0	1	0	1	0	0	2	0	0	-3	-3
Peters A., Larentzakis G., Canaan I., Sloukas K., Black T.	OLY	7.1	15	3	5	60%	3	5	60%	6	10	60%	0	0	-	2	6	8	4	4	2	1	4	0	1	17	2
Peters A., Larentzakis G., Canaan I., Bolomboy J., Sloukas K.	OLY	10.7	17	2	5	40%	3	11	27%	5	16	31%	4	5	80%	3	6	9	4	6	5	3	3	1	0	18	6
Harper J., Prepelic K., Alexander K., Claver V., Lopez-Arostegui X.	VBC	22.7	50	11	17	65%	6	11	55%	17	28	61%	10	12	83%	5	12	17	12	17	10	3	14	0	2	46	-3
Peters A., Canaan I., Bolomboy J., Papanikolaou K., Sloukas K.	OLY	4	8	1	2	50%	2	4	50%	3	6	50%	0	0	-	3	4	7	2	2	2	0	5	0	0	9	0
Dubljevic B., Jones C., Webb J., Prepelic K., Lopez-Arostegui X.	VBC	8.2	16	4	8	50%	1	6	17%	5	14	36%	5	5	100%	1	4	5	3	4	4	3	2	0	0	16	2
Dubljevic B., Webb J., Harper J., Claver V., Lopez-Arostegui X.	VBC	7.4	21	4	4	100%	2	3	67%	6	7	86%	7	8	88%	0	3	3	4	4	6	0	2	0	0	26	3
Pradilla J., Harper J., Alexander K., Claver V., Lopez-Arostegui X.	VBC	3.4	6	3	3	100%	0	2	0%	3	5	60%	0	0	-	0	2	2	2	1	0	0	1	0	0	6	-6
Dubljevic B., Jones C., Webb J., Prepelic K., Alexander K.	VBC	0.7	5	1	1	100%	0	0	-	1	1	100%	3	3	100%	0	1	1	1	1	2	0	0	0	0	8	4
Dubljevic B., Jones C., Pradilla J., Webb J., Prepelic K.	VBC	3.9	16	2	2	100%	4	5	80%	6	7	86%	0	0	-	1	3	4	3	1	2	2	1	0	0	24	12
Dubljevic B., Jones C., Pradilla J., Webb J., Harper J.	VBC	0.9	2	1	2	50%	0	0	-	1	2	50%	0	0	-	0	1	1	1	1	0	1	0	0	0	3	2
Peters A., Papanikolaou K., Sloukas K., Vezenkov S., Walkup T.	OLY	0.2	1	0	2	0%	0	0	-	0	2	0%	1	2	50%	1	0	1	0	1	1	0	0	0	1	-2	-2
Dubljevic B., Jones C., Webb J., Prepelic K., Claver V.	VBC	25.1	57	10	18	56%	12	25	48%	22	43	51%	1	1	100%	5	15	20	14	15	9	7	5	1	0	67	12
Dubljevic B., Jones C., Webb J., Radebaugh J., Claver V.	VBC	15.8	29	7	16	44%	5	14	36%	12	30	40%	0	0	-	6	8	14	7	7	4	5	3	0	1	30	2
Jones C., Webb J., Radebaugh J., Alexander K., Claver V.	VBC	10.8	28	6	9	67%	4	6	67%	10	15	67%	4	5	80%	0	7	7	7	9	3	1	1	1	1	30	1
Webb J., Puerto J., Alexander K., Claver V., Lopez-Arostegui X.	VBC	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	1	1	0	0	0	0	0	1	0	2	0
Edwards C., Booker D., Pierre D., Guduric M., Jekiri T.	FBD	2	2	1	2	50%	0	0	-	1	2	50%	0	0	-	0	1	1	0	2	2	0	1	0	0	1	-4
Higgins C., Nnaji J., Kalinic N., Pauli O., Jokubaitis R.	FCB	0.4	2	0	0	-	0	1	0%	0	1	0%	2	2	100%	0	1	1	0	1	0	0	0	0	0	1	2
Booker D., Guduric M., Mahmutoglu M., Birsen M., Jekiri T.	FBD	1.1	2	1	1	100%	0	1	0%	1	2	50%	0	0	-	1	0	1	0	0	1	0	1	0	0	2	0
Booker D., Motley J., Guduric M., Mahmutoglu M., Birsen M.	FBD	1.8	3	1	2	50%	0	0	-	1	2	50%	1	1	100%	0	2	2	0	4	3	0	1	0	0	2	2
Abrines A., Nnaji J., Vesely J., Jokubaitis R., Satoransky T.	FCB	1.7	0	0	1	0%	0	2	0%	0	3	0%	0	0	-	1	1	2	0	1	0	0	0	1	0	-1	-3
Booker D., Guduric M., Birsen M., Calathes N., Hayes N.	FBD	6.7	6	1	4	25%	1	5	20%	2	9	22%	1	2	50%	2	2	4	2	3	2	1	1	0	1	2	-10
Abrines A., Nnaji J., Vesely J., Laprovittola N., Satoransky T.	FCB	0.8	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	1	1	1	0	1	0	0	0	0	5	2
Abrines A., Nnaji J., Tobey M., Laprovittola N., Satoransky T.	FCB	0.9	4	0	0	-	1	1	100%	1	1	100%	1	2	50%	0	1	1	0	1	0	0	0	0	0	3	4
Pierre D., Guduric M., Birsen M., Calathes N., Hayes N.	FBD	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	-3
Abrines A., Laprovittola N., Kalinic N., Jokubaitis R., Sanli S.	FCB	1	1	0	0	-	0	3	0%	0	3	0%	1	2	50%	2	0	2	0	1	1	0	0	0	1	-2	-1
Motley J., Guduric M., Calathes N., Hayes N., Jekiri T.	FBD	4.2	8	3	6	50%	0	1	0%	3	7	43%	2	2	100%	0	1	1	2	3	2	0	0	0	0	6	-10
Pierre D., Guduric M., Hayes N., Wilbekin S., Jekiri T.	FBD	0.6	1	0	0	-	0	0	-	0	0	-	1	2	50%	0	0	0	1	1	1	1	2	0	0	0	1
Edwards C., Pierre D., Hayes N., Wilbekin S., Jekiri T.	FBD	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	0	0	0	-1	-2
Edwards C., Booker D., Pierre D., Wilbekin S., Jekiri T.	FBD	2.6	2	1	2	50%	0	1	0%	1	3	33%	0	0	-	0	0	0	0	0	0	0	1	0	0	-1	-6
Vesely J., Tobey M., Kalinic N., Jokubaitis R., Satoransky T.	FCB	0.8	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	1	1	0	1	0	0	1	0	0	-2	-3
Booker D., Pierre D., Motley J., Calathes N., Wilbekin S.	FBD	12.3	27	10	18	56%	2	6	33%	12	24	50%	1	1	100%	4	7	11	1	5	5	2	4	0	0	25	2
Abrines A., Vesely J., Tobey M., Jokubaitis R., Satoransky T.	FCB	4.7	9	3	3	100%	1	5	20%	4	8	50%	0	0	-	2	3	5	2	3	1	1	3	1	0	9	2
Booker D., Motley J., Mahmutoglu M., Calathes N., Wilbekin S.	FBD	1.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	1	1	0	1	1	0	2	0	0	-1	-2
Abrines A., Vesely J., Jokubaitis R., Sanli S., Satoransky T.	FCB	1.4	0	0	2	0%	0	0	-	0	2	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-3	-5
Booker D., Motley J., Mahmutoglu M., Wilbekin S., Hazer S.	FBD	1.4	5	1	1	100%	1	1	100%	2	2	100%	0	0	-	0	2	2	1	0	1	0	0	0	0	9	5
Higgins C., Vesely J., Laprovittola N., Jokubaitis R., Sanli S.	FCB	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	0	0	0	-1	-2
Booker D., Motley J., Guduric M., Mahmutoglu M., Hazer S.	FBD	7	24	6	9	67%	3	5	60%	9	14	64%	3	3	100%	3	4	7	3	4	3	0	0	1	1	28	7
Higgins C., Tobey M., Laprovittola N., Kalinic N., Sanli S.	FCB	6	15	4	6	67%	1	2	50%	5	8	63%	4	5	80%	1	2	3	1	4	5	0	2	1	0	15	-8
Abrines A., Tobey M., Laprovittola N., Kalinic N., Sanli S.	FCB	1.1	2	1	1	100%	0	1	0%	1	2	50%	0	0	-	1	0	1	0	2	0	0	1	1	0	0	0
Abrines A., Tobey M., Kalinic N., Jokubaitis R., Sanli S.	FCB	2.8	4	2	3	67%	0	2	0%	2	5	40%	0	0	-	1	2	3	1	0	0	0	0	0	1	4	-3
Booker D., Motley J., Guduric M., Hayes N., Hazer S.	FBD	0.5	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	1	1	1	0	0	0	0	1	0	5	2
Bentil B., Lazic B., Petrusev F., Vildoza L., Dobric O.	CZV	18.9	36	7	16	44%	5	9	56%	12	25	48%	7	11	64%	3	11	14	8	11	10	2	6	1	0	37	2
Hall D., Okobo E., Brown J., James M., Ouattara Y.	MCO	7.8	17	4	9	44%	2	5	40%	6	14	43%	3	4	75%	3	3	6	2	3	4	1	2	1	0	17	0
Bentil B., Petrusev F., Nedovic N., Lazarevic S., Markovic S.	CZV	4.6	10	3	5	60%	0	4	0%	3	9	33%	4	5	80%	3	5	8	1	2	3	0	2	0	0	11	2
Petrusev F., Nedovic N., Ivanovic N., Lazarevic S., Markovic S.	CZV	1.2	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	1	1	0	0	1	0	0	0	0	1	-2
Martin H., Nedovic N., Ivanovic N., Lazarevic S., Markovic S.	CZV	5.6	10	2	3	67%	1	4	25%	3	7	43%	3	4	75%	1	3	4	1	3	2	0	1	0	0	8	1
Moerman A., Diallo A., Motiejunas D., Okobo E., Strazel M.	MCO	3.9	7	2	4	50%	1	4	25%	3	8	38%	0	0	-	3	2	5	1	2	2	1	0	0	0	9	2
Martin H., Vildoza L., Nedovic N., Ivanovic N., Lazarevic S.	CZV	1.1	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	1	1	0	1	0	0	1	0	0	-2	-2
Diallo A., Hall D., Okobo E., Loyd J., James M.	MCO	0.6	3	0	1	0%	0	0	-	0	1	0%	3	4	75%	0	0	0	0	0	2	0	0	0	0	3	1
Petrusev F., Vildoza L., Nedovic N., Lazarevic S., Markovic S.	CZV	2	2	1	3	33%	0	0	-	1	3	33%	0	0	-	0	0	0	1	2	0	0	0	0	0	-1	-9
Martin H., Vildoza L., Nedovic N., Lazarevic S., Markovic S.	CZV	0.5	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-2	-1
Martin H., Nedovic N., Dobric O., Lazarevic S., Markovic S.	CZV	3.7	9	2	3	67%	1	3	33%	3	6	50%	2	2	100%	1	3	4	1	0	3	1	0	0	0	15	3
Petrusev F., Holland J., Vildoza L., Nedovic N., Lazarevic S.	CZV	1.6	3	1	1	100%	0	2	0%	1	3	33%	1	2	50%	2	1	3	1	0	3	0	0	0	0	7	3
Petrusev F., Holland J., Nedovic N., Lazarevic S., Markovic S.	CZV	3.1	14	2	4	50%	2	4	50%	4	8	50%	4	5	80%	4	0	4	3	3	3	0	0	0	0	16	3
Noua A., Lighty D., De Colo N., Jackson-Cartwright P., Fall Y.	ASV	13.2	24	9	13	69%	1	5	20%	10	18	56%	3	3	100%	2	9	11	2	6	5	2	6	0	2	22	0
Pajola A., Lundberg I., Bako I., Ojeleye S., Shengelia T.	VIR	1.4	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	2	0	1	0	0	1	-5
Kahudi C., Lighty D., De Colo N., Jackson-Cartwright P., Fall Y.	ASV	5.8	19	7	11	64%	1	3	33%	8	14	57%	2	3	67%	4	2	6	1	2	5	1	0	0	0	23	12
Pajola A., Bako I., Weems K., Teodosic M., Shengelia T.	VIR	26.4	56	12	25	48%	6	15	40%	18	40	45%	14	16	88%	8	14	22	14	10	18	7	6	2	2	77	10
Kahudi C., Lighty D., Mathews J., Jackson-Cartwright P., Fall Y.	ASV	1.9	5	1	3	33%	1	2	50%	2	5	40%	0	0	-	0	2	2	1	2	1	0	0	0	0	4	0
Tyus A., Kahudi C., Lighty D., Mathews J., Jackson-Cartwright P.	ASV	5.5	8	3	7	43%	0	0	-	3	7	43%	2	2	100%	0	2	2	1	4	5	4	2	0	1	9	-3
Tyus A., Polite A., Kahudi C., Mathews J., Jackson-Cartwright P.	ASV	2.1	2	1	1	100%	0	1	0%	1	2	50%	0	0	-	0	1	1	0	1	0	0	2	1	0	0	-1
Pajola A., Mickey J., Weems K., Teodosic M., Shengelia T.	VIR	0.8	0	0	2	0%	0	0	-	0	2	0%	0	0	-	1	0	1	0	0	1	0	0	0	1	-1	-4
Tyus A., Polite A., Kahudi C., Mathews J., Obasohan R.	ASV	3.1	5	1	2	50%	1	3	33%	2	5	40%	0	0	-	0	3	3	2	1	0	0	1	0	0	5	-2
Hackett D., Cordinier I., Jaiteh M., Teodosic M., Ojeleye S.	VIR	1.3	5	2	2	100%	0	0	-	2	2	100%	1	1	100%	0	2	2	0	1	0	1	1	0	0	6	3
Pajola A., Lundberg I., Jaiteh M., Belinelli M., Ojeleye S.	VIR	1.3	5	2	2	100%	0	1	0%	2	3	67%	1	1	100%	1	1	2	1	1	1	0	0	0	0	7	2
Pajola A., Bako I., Teodosic M., Ojeleye S., Shengelia T.	VIR	12.5	30	7	9	78%	4	10	40%	11	19	58%	4	6	67%	2	6	8	8	11	5	4	1	1	0	34	6
Tyus A., Kahudi C., Mathews J., Jackson-Cartwright P., Obasohan R.	ASV	1.4	3	0	1	0%	1	1	100%	1	2	50%	0	0	-	0	1	1	1	1	0	1	1	0	1	2	1
Pajola A., Lundberg I., Bako I., Weems K., Shengelia T.	VIR	12.5	10	4	16	25%	0	3	0%	4	19	21%	2	2	100%	4	5	9	2	4	4	1	4	1	0	4	-11
Tyus A., Kahudi C., Mathews J., De Colo N., Obasohan R.	ASV	19	27	7	19	37%	3	14	21%	10	33	30%	4	7	57%	8	7	15	4	10	5	7	5	1	1	17	-14
Tyus A., Noua A., Mathews J., De Colo N., Obasohan R.	ASV	21.3	41	13	20	65%	5	10	50%	18	30	60%	0	0	-	2	10	12	8	10	4	2	7	2	0	40	-10
Hackett D., Lundberg I., Weems K., Jaiteh M., Shengelia T.	VIR	12.7	28	10	14	71%	2	7	29%	12	21	57%	2	4	50%	1	4	5	9	9	5	2	1	1	0	29	-4
Tyus A., Noua A., Lighty D., Mathews J., De Colo N.	ASV	6.5	13	2	4	50%	3	5	60%	5	9	56%	0	1	0%	1	4	5	2	3	4	0	2	0	1	13	3
Hackett D., Lundberg I., Teodosic M., Ojeleye S., Shengelia T.	VIR	1.2	5	0	2	0%	1	1	100%	1	3	33%	2	2	100%	0	2	2	0	3	1	0	0	0	0	3	1
Tyus A., Noua A., Lighty D., Mathews J., Obasohan R.	ASV	6.3	7	2	7	29%	0	3	0%	2	10	20%	3	4	75%	2	6	8	1	1	6	0	1	2	0	13	-6
Noua A., Kahudi C., Lighty D., Mathews J., De Colo N.	ASV	0.2	5	0	0	-	1	1	100%	1	1	100%	2	2	100%	0	0	0	1	0	2	0	0	0	0	8	5
Davies B., Ricci G., Mitrou-Long N., Melli N., Baldasso T.	MIL	2.1	8	1	1	100%	2	3	67%	3	4	75%	0	0	-	0	1	1	3	2	0	1	0	0	0	10	3
Pajola A., Cordinier I., Bako I., Teodosic M., Shengelia T.	VIR	8.3	15	3	5	60%	1	4	25%	4	9	44%	6	7	86%	0	5	5	3	5	3	1	3	0	1	12	-5
Davies B., Ricci G., Voigtmann J., Mitrou-Long N., Baldasso T.	MIL	3.1	4	0	1	0%	1	1	100%	1	2	50%	1	2	50%	1	1	2	0	1	3	0	2	0	0	4	2
Davies B., Voigtmann J., Pangos K., Mitrou-Long N., Baldasso T.	MIL	0.2	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	0	0	0	0	0	0	-1	0
Pajola A., Cordinier I., Teodosic M., Ojeleye S., Shengelia T.	VIR	0.2	0	0	0	-	0	0	-	0	0	-	0	0	-	0	1	1	0	0	0	0	0	0	0	1	0
Pajola A., Cordinier I., Mickey J., Teodosic M., Shengelia T.	VIR	2.9	9	3	3	100%	1	1	100%	4	4	100%	0	0	-	0	3	3	4	1	3	0	1	0	0	17	8
Hall D., Ricci G., Pangos K., Hines K., Melli N.	MIL	6.9	6	3	5	60%	0	6	0%	3	11	27%	0	0	-	3	4	7	1	2	1	0	3	0	0	2	-11
Hackett D., Lundberg I., Cordinier I., Jaiteh M., Ojeleye S.	VIR	7	11	4	6	67%	1	3	33%	5	9	56%	0	0	-	2	6	8	3	2	3	0	1	0	0	18	4
Hackett D., Lundberg I., Jaiteh M., Ojeleye S., Shengelia T.	VIR	34.3	65	18	31	58%	7	16	44%	25	47	53%	8	8	100%	6	17	23	17	12	12	3	15	1	0	72	-25
Davies B., Thomas D., Pangos K., Melli N., Tonut S.	MIL	1	1	0	1	0%	0	0	-	0	1	0%	1	2	50%	0	0	0	0	1	1	0	0	0	0	-1	-4
Hackett D., Lundberg I., Bako I., Ojeleye S., Shengelia T.	VIR	3	6	1	2	50%	1	1	100%	2	3	67%	1	2	50%	0	2	2	1	0	1	0	2	0	0	6	2
Davies B., Thomas D., Pangos K., Mitrou-Long N., Melli N.	MIL	1.1	2	1	2	50%	0	0	-	1	2	50%	0	0	-	0	0	0	0	1	0	1	0	0	0	1	1
Davies B., Thomas D., Voigtmann J., Pangos K., Mitrou-Long N.	MIL	2.1	4	2	2	100%	0	0	-	2	2	100%	0	0	-	0	4	4	2	0	2	0	0	0	0	12	3
Hackett D., Lundberg I., Mickey J., Ojeleye S., Shengelia T.	VIR	12.4	12	3	8	38%	2	8	25%	5	16	31%	0	2	0%	2	8	10	3	10	4	3	6	2	1	4	-10
Davies B., Thomas D., Ricci G., Mitrou-Long N., Tonut S.	MIL	2.3	7	1	2	50%	0	1	0%	1	3	33%	5	5	100%	0	4	4	1	1	0	1	2	1	0	9	2
Hackett D., Mickey J., Teodosic M., Ojeleye S., Shengelia T.	VIR	8	18	5	10	50%	2	4	50%	7	14	50%	2	2	100%	1	3	4	4	4	5	2	1	0	3	18	0
Thomas D., Pangos K., Hines K., Mitrou-Long N., Melli N.	MIL	1	1	0	0	-	0	1	0%	0	1	0%	1	2	50%	1	1	2	1	0	2	0	0	0	0	4	1
Pajola A., Lundberg I., Mickey J., Ojeleye S., Shengelia T.	VIR	0.9	5	1	3	33%	0	0	-	1	3	33%	3	3	100%	1	1	2	1	1	2	2	1	0	0	8	4
Pajola A., Mickey J., Teodosic M., Ojeleye S., Shengelia T.	VIR	2.6	5	1	4	25%	0	2	0%	1	6	17%	3	3	100%	3	2	5	2	1	3	0	0	0	1	8	-1
Davies B., Hall D., Pangos K., Mitrou-Long N., Melli N.	MIL	1.2	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	0	0	0	0	1	0	1	0	0	2	0
Davies B., Hall D., Mitrou-Long N., Melli N., Baldasso T.	MIL	0.9	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-2	-2
Davies B., Hall D., Voigtmann J., Mitrou-Long N., Baldasso T.	MIL	1.2	2	1	1	100%	0	1	0%	1	2	50%	0	0	-	0	0	0	1	2	0	0	0	0	0	0	-3
Pajola A., Cordinier I., Jaiteh M., Teodosic M., Shengelia T.	VIR	4.6	8	1	3	33%	2	3	67%	3	6	50%	0	1	0%	2	3	5	1	2	1	1	2	0	0	8	2
Davies B., Hall D., Voigtmann J., Tonut S., Baldasso T.	MIL	1.4	0	0	1	0%	0	1	0%	0	2	0%	0	0	-	1	0	1	0	0	1	0	0	0	0	0	-5
Hall D., Voigtmann J., Melli N., Tonut S., Baldasso T.	MIL	1.7	1	0	0	-	0	1	0%	0	1	0%	1	2	50%	1	2	3	0	0	1	1	2	0	0	2	1
Pajola A., Lundberg I., Cordinier I., Jaiteh M., Shengelia T.	VIR	4.3	0	0	3	0%	0	3	0%	0	6	0%	0	0	-	0	4	4	0	1	1	0	0	0	0	-2	-7
Davies B., Hall D., Ricci G., Pangos K., Mitrou-Long N.	MIL	5	13	3	5	60%	1	2	50%	4	7	57%	4	6	67%	0	6	6	3	2	3	1	0	0	1	18	7
Hackett D., Lundberg I., Cordinier I., Mickey J., Shengelia T.	VIR	0.2	1	0	0	-	0	0	-	0	0	-	1	2	50%	0	0	0	0	1	0	0	0	0	0	-1	1
Hackett D., Cordinier I., Mickey J., Teodosic M., Shengelia T.	VIR	9.6	17	4	7	57%	2	5	40%	6	12	50%	3	4	75%	2	6	8	4	5	6	1	4	1	0	21	-7
Hackett D., Lundberg I., Mickey J., Teodosic M., Shengelia T.	VIR	2	5	0	1	0%	1	1	100%	1	2	50%	2	2	100%	1	0	1	1	1	2	0	1	0	0	6	-3
Pierre D., Motley J., Birsen M., Calathes N., Wilbekin S.	FBD	1.5	7	2	2	100%	1	2	50%	3	4	75%	0	1	0%	2	1	3	2	1	2	0	0	0	0	11	7
Bentil B., Vildoza L., Nedovic N., Kuzmic O., Lazarevic S.	CZV	10.1	29	6	11	55%	4	8	50%	10	19	53%	5	6	83%	6	6	12	7	2	7	1	0	1	0	45	16
Booker D., Pierre D., Motley J., Guduric M., Calathes N.	FBD	6.4	16	3	4	75%	3	3	100%	6	7	86%	1	2	50%	0	1	1	3	8	2	0	3	0	0	9	-4
Bentil B., Lazic B., Vildoza L., Nedovic N., Kuzmic O.	CZV	11.2	17	6	11	55%	1	6	17%	7	17	41%	2	4	50%	2	2	4	1	8	7	2	2	0	0	9	-12
Bentil B., Lazic B., Nedovic N., Ivanovic N., Kuzmic O.	CZV	7.7	14	5	7	71%	0	4	0%	5	11	45%	4	4	100%	3	3	6	1	3	5	1	3	0	0	15	-2
Booker D., Pierre D., Motley J., Guduric M., Wilbekin S.	FBD	6	16	6	8	75%	1	3	33%	7	11	64%	1	1	100%	3	3	6	3	3	1	0	2	1	0	18	-1
Lazic B., Petrusev F., Nedovic N., Ivanovic N., Kuzmic O.	CZV	6.5	15	5	8	63%	1	2	50%	6	10	60%	2	2	100%	3	4	7	2	5	6	2	2	0	0	21	7
Booker D., Pierre D., Guduric M., Hazer S., Jekiri T.	FBD	0.4	1	0	0	-	0	0	-	0	0	-	1	2	50%	0	0	0	0	0	0	0	0	0	0	0	-2
Booker D., Guduric M., Mahmutoglu M., Calathes N., Jekiri T.	FBD	4.7	8	1	1	100%	2	4	50%	3	5	60%	0	0	-	1	2	3	3	2	2	0	3	0	0	9	-2
Bentil B., Lazic B., Petrusev F., Nedovic N., Ivanovic N.	CZV	5.6	12	3	7	43%	2	4	50%	5	11	45%	0	0	-	1	4	5	2	1	0	1	0	0	0	13	5
Bentil B., Lazic B., Petrusev F., Vildoza L., Ivanovic N.	CZV	0.6	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-2	0
Bentil B., Petrusev F., Vildoza L., Ivanovic N., Lazarevic S.	CZV	0.7	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	1	1	0	1	0	0	0	0	0	2	2
Bentil B., Vildoza L., Ivanovic N., Kuzmic O., Lazarevic S.	CZV	4	6	1	3	33%	1	4	25%	2	7	29%	1	2	50%	1	0	1	0	1	1	1	1	0	0	1	-8
Bentil B., Petrusev F., Vildoza L., Nedovic N., Lazarevic S.	CZV	8.4	19	7	12	58%	1	4	25%	8	16	50%	2	2	100%	2	3	5	1	8	3	2	2	2	1	13	5
Bentil B., Lazic B., Petrusev F., Vildoza L., Nedovic N.	CZV	2.3	2	1	1	100%	0	1	0%	1	2	50%	0	0	-	0	1	1	0	3	1	0	1	0	0	-1	-4
Lazic B., Petrusev F., Martin H., Nedovic N., Ivanovic N.	CZV	0.3	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	0	0	0	0	0	0	-1	0
Bentil B., Lazic B., Martin H., Vildoza L., Ivanovic N.	CZV	2.3	2	1	3	33%	0	0	-	1	3	33%	0	0	-	0	0	0	1	1	2	0	0	0	0	2	-2
Pierre D., Motley J., Guduric M., Mahmutoglu M., Hayes N.	FBD	5	7	2	2	100%	1	2	50%	3	4	75%	0	1	0%	0	4	4	2	1	1	1	2	0	0	10	3
Bentil B., Martin H., Holland J., Vildoza L., Ivanovic N.	CZV	0.3	1	0	0	-	0	0	-	0	0	-	1	2	50%	0	0	0	0	0	0	0	0	0	0	0	-2
Motley J., Guduric M., Mahmutoglu M., Hayes N., Wilbekin S.	FBD	0.3	3	0	0	-	1	1	100%	1	1	100%	0	0	-	0	0	0	1	0	0	0	0	0	0	4	2
Motley J., Guduric M., Mahmutoglu M., Calathes N., Hayes N.	FBD	16.1	37	7	11	64%	6	16	38%	13	27	48%	5	7	71%	9	8	17	7	7	6	2	3	2	0	45	9
Bentil B., Nedovic N., Ivanovic N., Kuzmic O., Lazarevic S.	CZV	2.4	10	2	3	67%	2	2	100%	4	5	80%	0	0	-	0	0	0	2	1	1	2	0	0	1	12	4
Bentil B., Martin H., Vildoza L., Nedovic N., Lazarevic S.	CZV	9.7	11	2	7	29%	2	7	29%	4	14	29%	1	4	25%	4	6	10	3	2	7	2	3	0	1	14	-10
Motley J., Guduric M., Mahmutoglu M., Hayes N., Hazer S.	FBD	0.3	2	0	0	-	0	1	0%	0	1	0%	2	2	100%	0	1	1	0	1	0	0	0	0	0	1	2
Zizic A., Dunston B., Bryant E., Micic V., Clyburn W.	EFS	4.2	7	3	3	100%	0	2	0%	3	5	60%	1	2	50%	1	1	2	2	2	2	1	1	0	0	8	-3
Polonara A., Dunston B., Bryant E., Taylor I., Clyburn W.	EFS	2.8	6	1	2	50%	1	2	50%	2	4	50%	1	1	100%	0	0	0	0	0	2	1	0	0	0	7	-1
Polonara A., Dunston B., Bryant E., Taylor I., Beaubois R.	EFS	1	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	0	0	0	3	0	0	0	0	0	-1	-3
Polonara A., Zizic A., Bryant E., Taylor I., Beaubois R.	EFS	1.8	4	1	2	50%	0	0	-	1	2	50%	2	2	100%	0	1	1	0	0	2	0	0	0	0	6	0
Abalde A., Musa D., Cornelie P., Llull S., Poirier V.	RMB	1	3	0	0	-	0	1	0%	0	1	0%	3	4	75%	0	2	2	1	0	1	0	0	0	0	5	2
Polonara A., Zizic A., Taylor I., Beaubois R., Clyburn W.	EFS	2	3	1	2	50%	0	0	-	1	2	50%	1	2	50%	0	0	0	1	2	1	0	0	0	0	1	-3
Abalde A., Musa D., Cornelie P., Llull S., Tavares W.	RMB	5.6	19	4	4	100%	3	6	50%	7	10	70%	2	2	100%	1	2	3	4	6	3	0	2	0	0	18	2
Zizic A., Taylor I., Beaubois R., Micic V., Clyburn W.	EFS	15.3	39	12	20	60%	3	9	33%	15	29	52%	6	8	75%	4	11	15	6	11	8	2	3	2	3	39	3
Musa D., Deck G., Cornelie P., Llull S., Tavares W.	RMB	20.6	50	15	24	63%	5	15	33%	20	39	51%	5	5	100%	8	13	21	10	7	6	4	5	0	0	60	8
Musa D., Deck G., Yabusele G., Cornelie P., Rodriguez S.	RMB	1.3	2	1	2	50%	0	0	-	1	2	50%	0	0	-	1	2	3	0	0	1	0	1	0	0	4	-1
Dunston B., Taylor I., Beaubois R., Micic V., Clyburn W.	EFS	1.2	0	0	2	0%	0	1	0%	0	3	0%	0	0	-	1	0	1	0	0	0	0	0	0	0	-2	-2
Hanga A., Musa D., Deck G., Yabusele G., Cornelie P.	RMB	0.3	1	0	0	-	0	0	-	0	0	-	1	2	50%	0	0	0	1	0	0	0	0	0	0	1	-1
Hanga A., Musa D., Deck G., Yabusele G., Rodriguez S.	RMB	1.5	3	1	3	33%	0	0	-	1	3	33%	1	1	100%	0	1	1	1	1	0	1	0	0	0	3	3
M'Baye A., Zizic A., Taylor I., Beaubois R., Micic V.	EFS	0.7	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	1	1	0	0	0	0	1	0	0	-1	-3
M'Baye A., Zizic A., Bryant E., Taylor I., Beaubois R.	EFS	0.6	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	1	1	0	0	1	0	0	0	0	4	-1
